price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;waterfront;view;condition;grade;sqft_above;sqft_basement;yr_renovated;sqft_living15;sqft_lot15
475000;4;2;2040;16200;2;N;0;Average;8;2040;0;0;2530;15389
316000;4;2;2120;46173;2;N;0;Average;7;2120;0;0;2000;46173
802000;4;2;2130;8734;2;N;2;Good;8;2130;0;0;2550;8800
905000;4;2;3330;9557;2;N;0;Average;10;3330;0;0;3360;9755
7e+05;4;2;2440;9450;1.5;N;0;Average;7;2440;0;2014;1720;7503
178500;3;1;900;10511;1;N;0;Good;6;900;0;0;1460;10643
950000;7;4;3470;16264;2;N;0;Good;9;3470;0;0;3040;13500
247000;3;2;1580;7941;2;N;0;Good;7;1580;0;0;1730;8051
387846;4;2;2520;15205;1;N;0;Good;7;2040;480;0;1680;10000
370000;3;2;1570;16817;2;N;0;Average;7;1570;0;0;1600;16817
529000;3;2;2340;7724;1;N;0;Average;10;2340;0;0;3040;5787
335000;3;2;1410;44866;1;N;0;Good;7;1410;0;0;2950;29152
465500;3;2;1890;7004;1;N;0;Average;7;1290;600;0;1440;5378
654950;4;2;2790;45902;2;N;0;Average;9;2790;0;0;2890;42421
612000;5;2;2300;7000;1;N;0;Average;8;1290;1010;0;2080;7280
520000;3;2;2510;43995;2;N;0;Average;8;2510;0;0;2470;48351
575000;2;1;1510;4032;1.5;N;0;Average;8;1310;200;0;1700;4042
268000;4;2;1930;6600;1;N;0;Good;7;1030;900;0;1220;6600
330000;2;1;520;6862;1;N;0;Good;4;520;0;1980;1170;8756
627250;4;2;2830;10677;2;N;0;Average;9;2830;0;0;2970;9619
290000;4;2;2340;52272;2;N;0;Fair;8;2340;0;0;2480;40500
537500;4;2;2550;4630;2;N;0;Average;7;2550;0;0;2550;5151
240000;3;2;1030;11118;1;N;0;Very Good;7;1030;0;0;1300;7920
205000;3;1;970;7700;1;N;0;Good;7;970;0;0;1160;8250
595000;4;3;3730;4560;2;N;0;Average;9;2760;970;0;1800;4560
5e+05;3;2;1690;48096;1;N;0;Average;7;1690;0;0;2070;35160
356000;4;2;1600;12500;1;N;0;Very Good;7;1600;0;0;1260;8306
530000;3;2;1680;7770;1;N;0;Good;7;1680;0;0;1880;7770
384000;6;3;2320;4502;1;N;0;Good;7;1200;1120;0;1160;5628
237000;3;2;1210;6634;1;N;0;Good;7;1210;0;0;1560;7200
364950;4;2;2070;2992;2;N;0;Average;8;2070;0;0;1900;2957
259000;3;2;1590;7148;1;N;0;Average;7;1590;0;0;1150;7280
275500;4;1;1290;5000;1.5;N;0;Average;7;1290;0;0;1440;2500
230000;2;1;770;6450;1;N;0;Good;6;770;0;0;780;6063
425000;4;2;2290;8773;1;N;0;Good;7;1330;960;0;1740;7058
249900;3;2;1630;7700;1;N;0;Average;7;1120;510;0;1640;8160
255000;2;2;1950;8200;1;N;0;Average;8;1950;0;0;2370;8000
440000;3;2;1570;5120;1;N;2;Average;7;980;590;0;2420;7200
325000;5;3;2400;7904;1;N;0;Average;7;1450;950;0;2400;7475
364000;4;2;2010;8625;1;N;0;Good;7;1340;670;0;1500;8400
4e+05;3;2;1200;4800;1;N;0;Good;7;1200;0;0;1510;7668
982000;4;3;3610;8580;2;N;0;Average;9;3610;0;0;2360;8580
385000;3;2;1740;4145;2;N;0;Average;7;1740;0;0;1740;4045
479349;5;3;3223;6371;2;N;0;Average;9;3223;0;0;1979;9008
447000;3;2;1440;4667;2;N;0;Average;7;1440;0;0;1610;4756
399000;3;2;1800;3300;2;N;0;Average;7;1690;110;0;1570;3902
238000;3;1;1240;5700;1.5;N;0;Very Good;6;1240;0;0;1140;5700
610000;4;2;2100;8800;1;N;0;Very Good;8;1250;850;0;2100;9000
625000;4;2;2570;5520;2;N;0;Average;9;2570;0;0;2470;5669
550000;3;2;2010;2261;2;N;0;Average;8;1390;620;0;1690;1899
879000;4;3;4230;31747;2;N;0;Good;10;4230;0;0;4080;35576
1160000;4;2;2790;5450;2;N;0;Average;10;1930;860;2000;2320;5450
360000;3;2;1360;6000;1;N;0;Average;6;860;500;0;1560;3000
1020000;6;2;2550;5000;2;N;0;Good;7;2550;0;0;1480;5000
680000;4;2;2520;5000;2;N;0;Average;9;2520;0;0;2910;5001
430000;2;1;990;4802;1;N;0;Average;7;990;0;0;1180;5000
245000;2;1;870;6150;1;N;0;Average;6;870;0;0;1120;6150
432000;4;2;2410;8400;1;N;0;Average;7;1600;810;0;1850;8400
228000;4;2;2000;6120;1;N;0;Average;7;1100;900;0;1880;6120
208000;3;1;920;7314;1;N;0;Average;6;920;0;0;1010;7420
450000;3;2;1620;997;2.5;N;0;Average;8;1540;80;0;1620;1068
741000;4;3;2070;10125;1;N;0;Average;7;1390;680;0;1850;10125
325000;2;1;960;4800;1.5;N;0;Fair;6;960;0;0;1440;4800
699000;3;2;2580;8154;1;N;0;Average;10;2090;490;1997;1660;8155
850000;3;2;1370;3850;1;N;0;Very Good;7;770;600;1988;1390;3600
318400;4;2;1820;6916;2;N;0;Average;7;1820;0;0;1680;6995
499950;3;2;1350;9315;1;N;0;Average;7;1350;0;0;1840;9920
425000;3;2;1300;19163;1;N;0;Average;7;1300;0;0;1590;9744
660000;3;2;1570;1680;3;N;0;Average;8;1570;0;0;1290;1870
218000;3;1;1140;7560;1;N;0;Good;6;1140;0;0;1300;7560
1115000;4;2;3690;11191;1;N;3;Good;10;2190;1500;0;3460;8160
960000;4;2;3430;43560;1.5;N;2;Very Good;10;3430;0;0;3700;44431
1901000;3;2;2660;13367;2;N;2;Average;10;2660;0;0;2660;13367
269000;4;2;1594;7665;1;N;0;Very Good;7;1088;506;0;1536;6000
255000;3;2;1490;6604;1;N;0;Good;6;1490;0;0;1330;6604
407000;4;2;2927;6000;2;N;0;Average;7;2927;0;0;2533;6000
1051000;4;4;3860;5474;2.5;N;0;Average;10;3860;0;0;3040;5474
999000;5;4;2810;2700;2;N;0;Very Good;9;1900;910;0;1510;3800
139500;2;2;1230;1561;2;N;0;Average;7;1230;0;0;1660;2243
637000;3;2;2200;7355;2;N;0;Good;8;2200;0;0;2290;7868
4e+05;5;3;2470;19200;1;N;0;Very Good;8;1250;1220;0;2140;35140
420000;4;2;2480;60548;1;N;0;Good;7;1600;880;0;2390;90169
745000;5;3;2400;10126;2;N;3;Average;8;2400;0;0;2250;3946
205000;3;2;1170;8239;1;N;0;Average;7;1170;0;0;1180;7866
402000;3;2;1580;6127;1.5;N;0;Very Good;7;1580;0;0;1500;6128
250000;3;2;2840;10182;1;N;0;Average;8;1510;1330;0;2210;9669
752500;2;2;2280;6230;1;N;0;Average;8;2280;0;0;1640;5931
359950;4;2;2542;6120;2;N;0;Average;8;2542;0;0;2419;8984
529941;3;2;1660;10000;1;N;0;Good;7;1010;650;0;2020;9720
262000;4;2;2070;8685;2;N;0;Average;7;2070;0;0;2170;9715
802541;5;3;2990;6768;2;N;0;Average;9;2990;0;0;2870;6768
440000;4;2;1450;8400;1.5;N;0;Good;7;1450;0;0;1450;7440
